LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,CPI,TOT,AGRWTH,A,2003,2.270095,
USA,CPI,TOT,AGRWTH,A,2004,2.677237,
USA,CPI,TOT,AGRWTH,A,2005,3.392747,
USA,CPI,TOT,AGRWTH,A,2006,3.225944,
USA,CPI,TOT,AGRWTH,A,2007,2.852673,
USA,CPI,TOT,AGRWTH,A,2008,3.8391,
USA,CPI,TOT,AGRWTH,A,2009,-0.3555463,
USA,CPI,TOT,AGRWTH,A,2010,1.640043,
USA,CPI,TOT,AGRWTH,A,2011,3.156842,
USA,CPI,TOT,AGRWTH,A,2012,2.069337,
USA,CPI,TOT,AGRWTH,A,2013,1.464833,
USA,CPI,TOT,AGRWTH,A,2014,1.622223,
USA,CPI,TOT,AGRWTH,A,2015,0.1186271,
CHL,CPI,TOT,AGRWTH,A,2000,3.843273,
CHL,CPI,TOT,AGRWTH,A,2001,3.569101,
CHL,CPI,TOT,AGRWTH,A,2002,2.489398,
CHL,CPI,TOT,AGRWTH,A,2003,2.810177,
CHL,CPI,TOT,AGRWTH,A,2004,1.054739,
CHL,CPI,TOT,AGRWTH,A,2005,3.052574,
CHL,CPI,TOT,AGRWTH,A,2006,3.392019,
CHL,CPI,TOT,AGRWTH,A,2007,4.407798,
CHL,CPI,TOT,AGRWTH,A,2008,8.716269,
CHL,CPI,TOT,AGRWTH,A,2009,1.482738,
CHL,CPI,TOT,AGRWTH,A,2010,1.516986,
CHL,CPI,TOT,AGRWTH,A,2011,3.341304,
CHL,CPI,TOT,AGRWTH,A,2012,3.006267,
CHL,CPI,TOT,AGRWTH,A,2013,1.793661,
CHL,CPI,TOT,AGRWTH,A,2014,4.715254,
CHL,CPI,TOT,AGRWTH,A,2015,4.348867,
EST,CPI,TOT,AGRWTH,A,2000,4.018489,
EST,CPI,TOT,AGRWTH,A,2001,5.74828,
EST,CPI,TOT,AGRWTH,A,2002,3.571913,
EST,CPI,TOT,AGRWTH,A,2003,1.334991,
EST,CPI,TOT,AGRWTH,A,2004,3.048111,
EST,CPI,TOT,AGRWTH,A,2005,4.079714,
EST,CPI,TOT,AGRWTH,A,2006,4.437621,
EST,CPI,TOT,AGRWTH,A,2007,6.601326,
EST,CPI,TOT,AGRWTH,A,2008,10.36236,
EST,CPI,TOT,AGRWTH,A,2009,-0.07840831,
EST,CPI,TOT,AGRWTH,A,2010,2.972045,
EST,CPI,TOT,AGRWTH,A,2011,4.981901,
EST,CPI,TOT,AGRWTH,A,2012,3.9334,
EST,CPI,TOT,AGRWTH,A,2013,2.780567,
EST,CPI,TOT,AGRWTH,A,2014,-0.1061751,
EST,CPI,TOT,AGRWTH,A,2015,-0.492326,
ISR,CPI,TOT,AGRWTH,A,2000,1.124842,
ISR,CPI,TOT,AGRWTH,A,2001,1.1,
ISR,CPI,TOT,AGRWTH,A,2002,5.687438,
ISR,CPI,TOT,AGRWTH,A,2003,0.7166666,
ISR,CPI,TOT,AGRWTH,A,2004,-0.4137018,
ISR,CPI,TOT,AGRWTH,A,2005,1.329345,
ISR,CPI,TOT,AGRWTH,A,2006,2.107248,
ISR,CPI,TOT,AGRWTH,A,2007,0.4916666,
ISR,CPI,TOT,AGRWTH,A,2008,4.594079,
ISR,CPI,TOT,AGRWTH,A,2009,3.325,
ISR,CPI,TOT,AGRWTH,A,2010,2.693766,
ISR,CPI,TOT,AGRWTH,A,2011,3.458333,
ISR,CPI,TOT,AGRWTH,A,2012,1.707612,
ISR,CPI,TOT,AGRWTH,A,2013,1.55,
ISR,CPI,TOT,AGRWTH,A,2014,0.4759561,
ISR,CPI,TOT,AGRWTH,A,2015,-0.5999999,
SVN,CPI,TOT,AGRWTH,A,2000,8.923298,
SVN,CPI,TOT,AGRWTH,A,2001,8.393764,
SVN,CPI,TOT,AGRWTH,A,2002,7.471757,
SVN,CPI,TOT,AGRWTH,A,2003,5.580764,
SVN,CPI,TOT,AGRWTH,A,2004,3.588282,
SVN,CPI,TOT,AGRWTH,A,2005,2.479933,
SVN,CPI,TOT,AGRWTH,A,2006,2.457557,
SVN,CPI,TOT,AGRWTH,A,2007,3.610821,
SVN,CPI,TOT,AGRWTH,A,2008,5.654357,
SVN,CPI,TOT,AGRWTH,A,2009,0.8570418,
SVN,CPI,TOT,AGRWTH,A,2010,1.839796,
SVN,CPI,TOT,AGRWTH,A,2011,1.810974,
SVN,CPI,TOT,AGRWTH,A,2012,2.595724,
SVN,CPI,TOT,AGRWTH,A,2013,1.762498,
SVN,CPI,TOT,AGRWTH,A,2014,0.2026864,
SVN,CPI,TOT,AGRWTH,A,2015,-0.5181261,
OECD,CPI,TOT,AGRWTH,A,2000,3.950821,
OECD,CPI,TOT,AGRWTH,A,2001,3.583633,
OECD,CPI,TOT,AGRWTH,A,2002,2.710502,
OECD,CPI,TOT,AGRWTH,A,2003,2.419537,
OECD,CPI,TOT,AGRWTH,A,2004,2.353911,
OECD,CPI,TOT,AGRWTH,A,2005,2.598695,
OECD,CPI,TOT,AGRWTH,A,2006,2.633293,
OECD,CPI,TOT,AGRWTH,A,2007,2.49994,
OECD,CPI,TOT,AGRWTH,A,2008,3.67868,
OECD,CPI,TOT,AGRWTH,A,2009,0.5064225,
OECD,CPI,TOT,AGRWTH,A,2010,1.836547,
OECD,CPI,TOT,AGRWTH,A,2011,2.866611,
OECD,CPI,TOT,AGRWTH,A,2012,2.240938,
OECD,CPI,TOT,AGRWTH,A,2013,1.609913,
OECD,CPI,TOT,AGRWTH,A,2014,1.726608,
OECD,CPI,TOT,AGRWTH,A,2015,0.5935237,
LVA,CPI,TOT,AGRWTH,A,2000,2.654253,
LVA,CPI,TOT,AGRWTH,A,2001,2.487044,
LVA,CPI,TOT,AGRWTH,A,2002,1.938879,
LVA,CPI,TOT,AGRWTH,A,2003,2.942643,
LVA,CPI,TOT,AGRWTH,A,2004,6.192384,
LVA,CPI,TOT,AGRWTH,A,2005,6.748708,
LVA,CPI,TOT,AGRWTH,A,2006,6.535751,
LVA,CPI,TOT,AGRWTH,A,2007,10.09346,
LVA,CPI,TOT,AGRWTH,A,2008,15.4003,
LVA,CPI,TOT,AGRWTH,A,2009,3.534914,
LVA,CPI,TOT,AGRWTH,A,2010,-1.085595,
LVA,CPI,TOT,AGRWTH,A,2011,4.371703,
LVA,CPI,TOT,AGRWTH,A,2012,2.257176,
LVA,CPI,TOT,AGRWTH,A,2013,-0.02889,
LVA,CPI,TOT,AGRWTH,A,2014,0.6209239,
LVA,CPI,TOT,AGRWTH,A,2015,0.1737499,
